no,msg1,msg2,jhd_no,code3,choin0,choin1,choin2,cdhikisu,cdsu,update
80,92,05,34885,0,283,0,0,0,50,2003/12/02 14:46:00
81,92,05,28769,0,270,0,0,0,50,2003/12/02 14:53:00
82,92,05,43065,0,21731,0,0,870,0,2003/12/02 14:59:00
83,92,05,50706,0,1023,0,0,0,41,2003/12/02 15:05:00
84,92,05,11123,0,1,0,0,75,0,2003/12/02 15:15:00
85,92,05,7923,0,0,0,0,68,0,2003/12/02 15:31:00
86,92,05,51530,0,145,0,0,0,119,2003/12/02 15:42:00
87,92,05,24246,0,72,0,0,0,50,2003/12/02 15:43:00
88,92,05,46097,0,251,0,0,0,125,2003/12/02 15:46:00
89,92,05,10587,0,50,0,0,8450,50,2003/12/02 16:07:00
90,92,05,24429,0,395,0,0,0,117,2003/12/02 16:17:00
91,92,05,28769,0,393,0,0,0,123,2003/12/02 16:25:00
92,92,05,29661,0,22990,0,0,680,0,2003/12/02 16:33:00
93,92,05,38015,0,416,0,0,0,32,2003/12/02 16:35:00
94,92,05,29661,0,22310,0,0,680,0,2003/12/02 16:39:00
95,92,05,49226,0,143,0,0,0,109,2003/12/02 16:40:00
96,92,05,49226,0,7,0,0,136,0,2003/12/02 16:47:00
97,92,05,48388,0,100,0,0,7000,100,2003/12/02 17:09:00
98,92,05,48336,0,3668,0,0,30,0,2003/12/02 17:10:00
99,92,05,34776,0,174,0,0,0,76,2003/12/02 17:47:00
100,92,05,44050,0,112,0,0,0,50,2003/12/02 17:58:00
101,92,05,11123,0,30,0,0,8130,30,2003/12/02 18:01:00
102,92,05,47398,0,93,0,0,0,50,2003/12/02 18:05:00
103,92,05,11123,0,0,0,0,30,0,2003/12/02 18:05:00
104,92,05,9117,0,85,0,0,0,9,2003/12/02 18:08:00
105,92,05,49522,0,626,0,0,0,11,2003/12/02 18:32:00
106,92,05,51530,0,77,0,0,68,0,2003/12/02 18:49:00
107,92,05,51754,0,146,0,0,0,102,2003/12/02 18:55:00
108,92,05,50926,0,419,0,0,0,119,2003/12/02 18:57:00
109,92,05,51530,0,218,0,0,0,141,2003/12/02 18:59:00
110,92,05,51530,0,221,0,0,0,3,2003/12/02 19:01:00
111,92,05,51530,0,153,0,0,68,0,2003/12/02 19:04:00
112,92,05,25234,0,125,0,0,20825,125,2003/12/02 19:09:00
113,92,05,33445,0,207,0,0,0,149,2003/12/02 19:16:00
114,92,05,46294,0,13943,0,0,0,13760,2003/12/02 19:17:00
115,92,05,46294,0,293,0,0,13760,110,2003/12/02 19:22:00
116,92,05,43992,0,168,0,0,0,50,2003/12/02 19:33:00
117,92,05,39697,0,84,0,0,0,30,2003/12/02 19:34:00
118,92,05,46473,0,11,0,0,0,5,2003/12/02 19:35:00
119,92,05,41001,0,100,0,0,5050,100,2003/12/02 19:40:00
120,92,05,46097,0,176,0,0,0,75,2003/12/02 19:45:00
121,92,05,46569,0,117,0,0,0,77,2003/12/02 19:51:00
122,92,05,23006,0,78,0,0,0,50,2003/12/02 19:52:00
123,92,05,29661,0,21560,0,0,750,0,2003/12/02 19:55:00
124,92,05,29661,0,20810,0,0,750,0,2003/12/02 19:57:00
125,92,05,51388,0,81,0,0,12531,81,2003/12/02 20:05:00
126,92,05,39934,0,128,0,0,0,50,2003/12/02 20:12:00
127,92,05,51515,0,740,0,0,0,30,2003/12/02 20:20:00
128,92,05,51754,0,153,0,0,0,7,2003/12/02 20:28:00
129,92,05,39004,0,2980,0,0,3040,2980,2003/12/02 20:34:00
130,92,05,11123,0,84,0,0,15084,84,2003/12/02 20:58:00
131,92,05,28769,0,512,0,0,0,119,2003/12/02 20:59:00
132,92,05,24872,0,200,0,0,0,30,2003/12/02 21:10:00
133,92,05,49225,0,86,0,0,0,8,2003/12/02 21:19:00
134,92,05,49306,0,102,0,0,0,26,2003/12/02 21:26:00
135,92,05,24429,0,411,0,0,0,16,2003/12/02 21:52:00
136,92,05,48691,0,837,0,0,0,139,2003/12/02 21:53:00
137,92,05,46089,0,1281,0,0,0,50,2003/12/02 22:04:00
138,92,05,47376,0,274,0,0,0,68,2003/12/02 22:52:00
139,92,05,45338,0,25074,0,0,0,24472,2003/12/02 23:01:00
140,92,05,45338,0,24,0,0,25074,24,2003/12/02 23:02:00
141,92,05,41117,0,9835,0,0,0,8880,2003/12/02 23:10:00
142,92,05,40312,0,92,0,0,3692,92,2003/12/02 23:12:00
