66,ｱｻﾘｽｰﾌﾟ,ｱｻﾘｽｰﾌﾟ,600,4,1
67,ｺｰﾝｽｰﾌﾟ,ｺｰﾝｽｰﾌﾟ,600,4,1
68,ﾌｶﾋﾚｽｰﾌﾟ,ﾌｶﾋﾚｽｰﾌﾟ,1200,4,1
69,牛肉ｽｰﾌﾟ,ｷﾞｭｳﾆｸｽｰﾌﾟ,600,4,1
70,台湾そば,ﾀｲﾜﾝｿﾊﾞ,250,4,1
71,五目ﾗｰﾒﾝ,ｺﾞﾓｸﾗｰﾒﾝ,700,4,1
72,ﾁｬｰｼｭｰﾒﾝ,ﾁｬｰｼｭｰﾒﾝ,700,4,1
73,ﾌｶﾋﾚﾗｰﾒﾝ,ﾌｶﾋﾚﾗｰﾒﾝ,1500,4,1
74,ｶﾆﾁｬｰﾊﾝ,ｶﾆﾁｬｰﾊﾝ,700,4,1
75,ﾁｬｰﾊﾝ,ﾁｬｰﾊﾝ,600,4,1
76,中華飯,ﾁｭｳｶﾊﾝ,700,4,1
77,天津飯,ﾃﾝｼﾝﾊﾝ,700,4,1
78,五目ﾔｷｿﾊﾞ,ｺﾞﾓｸﾔｷｿﾊﾞ,600,4,1
79,ギョーザ,ｷﾞｮｳｻﾞ,450,4,1
80,ｴﾋﾞｷﾞｮｳｻﾞ,ｴﾋﾞｷﾞｮｳｻﾞ,450,4,1
81,ｴﾋﾞｼｭｰﾏｲ,ｴﾋﾞｼｭｰﾏｲ,450,5,1
82,ﾌｶﾋﾚｼｭｰﾏｲ,ﾌｶﾋﾚｼｭｰﾏｲ,550,5,1
83,ｼｭｰﾏｲﾓﾘｱﾜｾ,ｼｭｰﾏｲﾓﾘｱﾜｾ,1000,5,1
84,ﾌｶﾋﾚｷﾞｮｰｻﾞ,ﾌｶﾋﾚｷﾞｮｰｻﾞ,600,5,1
85,ハーカオ,ﾊｰｶｵ,500,5,1
86,ｼｮｰﾛﾝﾄﾝﾊﾟｵ,ｼｮｰﾛﾝﾄﾝﾊﾟｵ,600,5,1
87,肉まん,ﾆｸﾏﾝ,150,5,1
88,あんまん,ｱﾝﾏﾝ,150,5,1
89,チマキ,ﾁﾏｷ,400,5,1
90,ｱﾝﾆﾝﾄｰﾌ,ｱﾝﾆﾝﾄｰﾌ,400,5,1
91,ﾍﾙｼｰｾﾞﾘｰ,ﾍﾙｼｰｾﾞﾘｰ,400,5,1
92,ﾏﾝｺﾞｰﾌﾟﾘﾝ,ﾏﾝｺﾞｰﾌﾟﾘﾝ,500,5,1
93,ﾊﾟｲﾅｯﾌﾟﾙ,ﾊﾟｲﾅｯﾌﾟﾙP,300,5,1
